Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Spent Days,Project Status,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Schedule Status,Cost Variance ($ M),Financial Status,Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
027-999991219,596,27,Office of Personnel Management,EHRI electronic Official Personnel Folder (eOPF),268,,Electronic Official Personnel Folder (eOPF),"eOPF is a web-based application that is capable of storing, processing, and displaying the OPFs of all current, separated, and retired Federal Employees. When fully implemented, the eOPF will cover the entire Executive Branch with a total user population of more than 1.9M. EHRI provides the eOPF application through a fee-for-service arrangement with implementing agencies. This project includes Assessments, Implementations, software licenses, and backfile conversion.",2004-01-10T00:00:00Z,2016-09-30T00:00:00Z,4646,Processing,,,557.27,0,0,Balanced schedule,3.094175,Excess budget,7.01,44.12332,41.029145,2012-02-03T00:00:00Z,8:37:44,eOPF
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,230,,New Base Technology,This project covers work done in 2011 to establish a new base technology for EPIC.,2008-01-10T00:00:00Z,2011-09-30T00:00:00Z,1358,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,322.78,0,0,Balanced schedule,5.066,Excess budget,11.17,45.359,40.293,2012-02-28T00:00:00Z,8:41:30,1
027-000000020,597,27,Office of Personnel Management,EPIC Transformation,231,,Legacy Migration,This project is the migration of the the new EPIC Transformation functionality to the EPIC O&M legacy environment.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,22.2935,0,0,Balanced schedule,0,Balanced budget,0,22.2934,22.2934,2012-02-28T00:00:00Z,8:41:30,2
027-000000019,598,27,Office of Personnel Management,EPIC Operations and Maintenance (O & M),229,,Maintenance Prior to 2012,This project tracks all of the EPIC O&M maintenance work prior to 2012.,2008-01-10T00:00:00Z,2011-09-30T00:00:00Z,1358,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,101.548,0,0,Balanced schedule,2.833,Excess budget,5.83,48.562,45.729,2012-01-25T00:00:00Z,8:47:11,2
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),511,,DTP Second Generation,"This project is an upgrade to the  X/Open Distributed Transaction Processing (DTP) architecture defined standard that enables multiple application programs (APs) to share resources provided by multiple, and possibly different, resource managers (RMs). It coordinates the work between APs and RMs into global transactions.The Oracle XA library conforms to the X/Open software architecture's XA interface specification.",2011-03-10T00:00:00Z,2013-10-31T00:00:00Z,966,Completed,,,1.22,0,0,Balanced schedule,0,Balanced budget,0,1.22,1.22,2012-02-03T00:00:00Z,9:38:59,1
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),512,,Citrix Phase II,The Citrix servers are being upgraded to improve the ability to handle telework employees.,2011-01-10T00:00:00Z,2013-12-31T00:00:00Z,1086,Completed,,,0.706,0,0,Balanced schedule,0,Balanced budget,0,0.706,0.706,2012-02-03T00:00:00Z,9:38:59,2
027-000000018,601,27,Office of Personnel Management,Enterprise Infrastructure Operations (EIO),513,,EIO for 2011,This project is for all the milestones for 2011.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,48.3,0,0,Balanced schedule,6.580825,Excess budget,14.62,45.01,38.429175,2012-01-25T00:00:00Z,8:47:12,3
027-000000052,872,27,Office of Personnel Management,USA Staffing System,177,,FY12 Q2 Core USA Staffing System Update,FY12 Q2 Core USA Staffing System Update.,2011-03-10T00:00:00Z,2012-03-31T00:00:00Z,386,Completed,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,2.984,0,0,Balanced schedule,0.297511,Excess budget,9.97,2.984,2.686489,2012-05-21T00:00:00Z,6:29:38,1
027-000000052,872,27,Office of Personnel Management,USA Staffing System,178,,FY12 EOD Update 1202*,FY12 EOD Update 1202*.,2012-07-03T00:00:00Z,2012-05-30T00:00:00Z,34,Completed,2012-05-30T00:00:00Z,2012-03-06T00:00:00Z,600,-93,-110.71,Under schedule,0,Balanced budget,0,0.6,0.6,2012-05-21T00:00:00Z,6:29:38,10
027-000000052,872,27,Office of Personnel Management,USA Staffing System,180,,FY12 Q4 Core USA Staffing System Update,FY12 Q4 Core USA Staffing System Update.,2012-02-04T00:00:00Z,2012-09-29T00:00:00Z,237,Completed,2012-09-29T00:00:00Z,2012-09-29T00:00:00Z,3.05,0,0,Balanced schedule,0,Balanced budget,0,3.05,3.05,2012-04-30T00:00:00Z,6:18:45,2
027-000000052,872,27,Office of Personnel Management,USA Staffing System,181,,FY12 Q1 Oracle Security Patch (Database and Operating System),FY12 Q1 Oracle Security Patch (Database and Operating System).,2011-10-18T00:00:00Z,2011-11-30T00:00:00Z,43,Completed,2011-11-30T00:00:00Z,2011-03-12T00:00:00Z,0.01,-3,-6.98,Under schedule,2.0E-4,Excess budget,2,0.01,0.0098,2012-03-28T00:00:00Z,6:20:38,3
027-000000052,872,27,Office of Personnel Management,USA Staffing System,182,,FY12 Q2 Oracle Security Patch (Database and Operating System),FY12 Q2 Oracle Security Patch (Database and Operating System).,2012-01-17T00:00:00Z,2012-02-29T00:00:00Z,43,Completed,2012-02-29T00:00:00Z,2012-03-03T00:00:00Z,0.01,-3,-6.98,Under schedule,2.07E-4,Excess budget,2.07,0.01,0.009793,2012-05-21T00:00:00Z,6:29:38,4
027-000000052,872,27,Office of Personnel Management,USA Staffing System,183,,FY12 Q3 Oracle Security Patch (Database and Operating System),FY12 Q3 Oracle Security Patch (Database and Operating System).,2012-04-17T00:00:00Z,2012-05-31T00:00:00Z,44,Completed,2012-05-31T00:00:00Z,2012-02-06T00:00:00Z,0.01,-2,-4.55,Under schedule,9.2E-5,Excess budget,0.92,0.01,0.009908,2012-05-07T00:00:00Z,6:23:00,5
027-000000052,872,27,Office of Personnel Management,USA Staffing System,184,,FY12 Q4 Oracle Security Patch (Database and Operating System),FY12 Q4 Oracle Security Patch (Database and Operating System).,2012-07-17T00:00:00Z,2012-08-31T00:00:00Z,45,Completed,,,0.01,0,0,Balanced schedule,0,Balanced budget,0,0.01,0.01,2011-09-16T00:00:00Z,7:16:37,6
027-000000052,872,27,Office of Personnel Management,USA Staffing System,185,,FY12 Continuity of Operations (COOP) Plan Test and Update,FY12 Continuity of Operations (COOP) Plan Test and Update.,2012-01-03T00:00:00Z,2012-03-31T00:00:00Z,87,Completed,2012-03-31T00:00:00Z,2012-04-27T00:00:00Z,0.025,-27,-90,Under schedule,-8.4E-4,Under budget,-3.36,0.025,0.02584,2012-05-21T00:00:00Z,6:29:38,7
027-000000052,872,27,Office of Personnel Management,USA Staffing System,186,,FY12 Contingency Plan Test and Update,FY12 Contingency Plan Test and Update.,2012-01-04T00:00:00Z,2012-04-30T00:00:00Z,116,Completed,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,0.015,0,0,Balanced schedule,-0.001493,Under budget,-9.95,0.015,0.016493,2012-05-21T00:00:00Z,6:29:39,8
027-000000052,872,27,Office of Personnel Management,USA Staffing System,187,,FY12 EOD Update 1201*,FY12 EOD Update 1201*.,2011-04-10T00:00:00Z,2012-06-03T00:00:00Z,420,Completed,2012-06-03T00:00:00Z,2012-04-15T00:00:00Z,0.651,-40,-25.97,Under schedule,0.02457,Excess budget,3.77,0.651,0.62643,2012-05-21T00:00:00Z,6:29:39,9
028-000000100,465,28,Small Business Administration,OCPL: Business Gateway,973,15922,PROJ: FY11-FY12 SBA.gov,"SBA plans further functional and technical improvements including a migration to cloud computing, creation of widgets and online access to SBA customer information.",2011-06-16T00:00:00Z,2012-09-28T00:00:00Z,470,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,5.696,0,0,Balanced schedule,-0.0424,Under budget,-0.74,5.6958,5.7382,2012-07-31T00:00:00Z,7:20:00,15922
028-000007007,466,28,Small Business Administration,OCIO: Identity and Access Management and Homeland Security Presidential Directive-12 (HSPD-12),1401,14655,PROJ: HSPD12 FY 2011 Mixed,"HSPD-12 falls within the scope of Identity and Access Management. On August 27, 2004, the President issued a Homeland Security Presidential Directive calling for a mandatory, government-wide standard for secure and reliable forms of identification issued by the federal government to its employees and federal contractors. The implementation of this Standard will ensure the identification for government employees and contractors is reliable and secure. The establishment of the PIV credential as part of a broader well managed enterprise solution enables common service capabilities in secure and reliable transactions. Further, it expedites SBAs ability to enable IT solutions that directly address line of business needs for disaster response, automated small business services such as electronic (and paperless) workflow services, and reduction in other existing investments for help desk operations and password management. E-Authentication falls within the scope of Identity and Access Management. This initiative expands e-Government by providing users access to online services that require authentication, using a solution that is secure as well as convenient and easy for customers, resulting in an improvement in the taxpayer experience. Through minimizing the burden on America's small businesses, the general public, and government partners, this initiative eliminates the need for separate processes for verification of identity and validation of electronic signatures. The IAM initiative provides a robust, highly secure, easy to manage centralized solution that automates the provisioning and deprovisioning of user identities mapped and managed to individual/entities, and manages each aspect of the identity lifecycle. By automating services, and doing so in accordance with well defined rules and role determination, SBA simplifies the independent management frameworks currently instituted individually by each application. As part of implementing security solutions at the individual application level, SBA addresses security risks on an individual basis, does not take advantage of economies of scale, and institutes varying levels of security, cost, and schedule risk across each program. This initiative will provide a security and operations focus on the management of common security services that are managed with industry proven solutions and solutions that adhere to well defined industry and federal standards.",2010-08-27T00:00:00Z,2011-09-30T00:00:00Z,399,Completed,2011-09-30T00:00:00Z,2011-12-30T00:00:00Z,1.3,-91,-25,Under schedule,0.1104,Excess budget,8.99,1.2286,1.1182,2011-12-30T00:00:00Z,7:17:16,14655
028-000007007,466,28,Small Business Administration,OCIO: Identity and Access Management and Homeland Security Presidential Directive-12 (HSPD-12),1402,30060,PROJ: HSPD12 FY2012 DME,"Project activities will allow SBA to comply with OMB memo 11-11 which states that: All new systems under development must be enabled to use PIV credentials, in accordance with NIST guidelines, prior to being made operational. Effective the beginning of FY2012, existing physical and logical access control systems must be upgraded to use PIV credentials, in accordance with NIST guidelines, prior to the agency using development and technology refresh funds to complete other activities.  Procurements for services and products involving facility or system access control must be in accordance with HSPD-12 policy and the Federal Acquisition Regulation. In order to ensure government-wide interoperability, OMB Memorandum 06-18, Acquisition of Products and Services for Implementation of HSPD-12 requires agencies to acquire products and services that are approved as compliant with Federal policy, standards and supporting technical specifications.  Agency processes must accept and electronically verify PIV credentials issued by other federal agencies.5  The government-wide architecture and completion of agency transition plans must align as described in the Federal CIO Council's Federal Identity, Credential, and Access Management Roadmap and Implementation Guidance.",2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,Completed,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,0.37,0,0,Balanced schedule,0,Balanced budget,0,0.15,0.15,2012-07-31T00:00:00Z,7:30:32,30060
028-000008007,888,28,Small Business Administration,OII: Small Business Innovative Research (SBIR),1400,14209,PROJ: Small Business Innovative Research (SBIR),The role of the SBA is to oversee and coordinate the efforts of the eleven (11) participating agencies in the SBIR/STTR program.,2010-08-17T00:00:00Z,2011-11-11T00:00:00Z,451,Completed,2011-11-11T00:00:00Z,2011-11-26T00:00:00Z,2.25,-15,-3.63,Under schedule,0.0865,Excess budget,6.12,1.4138,1.3273,2011-12-30T00:00:00Z,6:54:57,14209
028-000003005,1097,28,Small Business Administration,GCBD: GCBD Consolidated IT Investments,1336,29471,PROJ: OneTrack CMS,"The SBA Office of Government Contracting and Business Development (GCBD) has initiated a plan to improve, streamline, and automate the processes of the SBA HUBZone (HZ) and Business Development (BD) programs in support of its goals to enhance program delivery and oversight; expand and improve data collection; enhance workforce productivity; reduce fraud, waste, and abuse; and, implement and oversee three new mentor protg initiatives.  Both HZ and BD information systems are operational but not currently functioning as required.  The current systems do not effectively support program management and oversight or initiatives to eliminate fraud, waste, and abuse.  Consequently, these systems no longer fully support the program needs. The main deficiencies in the systems include:        Extensive Data Integrity Issues        Sub-optimal customer experience        508 Compliancy        Duplication of current functionality        Disparate systems and manual processes used to compensate for missing functionality        Firm Verification and Monitoring        Reporting        Limited access to a proprietary system (BDMIS).",2011-04-25T00:00:00Z,2013-10-31T00:00:00Z,920,Completed,,,1.615,73,11.35,Excess schedule,0.7796,Excess budget,48.56,1.6054,0.8258,2012-08-31T00:00:00Z,7:59:49,29471
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1620,17190,PROJ: ITI MSSS UnisysBridge,This project is the contingency for the Unisys contract.,2010-09-14T00:00:00Z,2012-12-14T00:00:00Z,822,Completed,2012-12-14T00:00:00Z,2012-12-14T00:00:00Z,8.028,0,0,Balanced schedule,0,Balanced budget,0,8.028,8.028,2012-07-31T00:00:00Z,9:24:07,17190
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1621,17191,PROJ: ITI MSSS Hosting,"Provide acquisition, implementation, and hosting services for new hardware and software, as well as ongoing operations and maintenance of the LMAS-IIP environment and architecture.",2010-09-14T00:00:00Z,2018-09-28T00:00:00Z,2936,Processing,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,53.1308,0,0,Balanced schedule,0,Balanced budget,0,12.2758,12.2758,2012-07-31T00:00:00Z,9:24:07,17191
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1622,17192,PROJ: ITI MSSS MigrateSybase,Migrate the SBA Office of Chief Financial Officer's (OCFO's) Denver financial systems from their current Sybase environment to the agency standard Oracle environment.,2010-04-08T00:00:00Z,2018-09-28T00:00:00Z,3095,Processing,,,3.2197,0,0,Balanced schedule,1.0E-4,Excess budget,0,3.0034,3.0033,2012-07-31T00:00:00Z,9:24:07,17192
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1623,29472,PROJ: Wireless Modernization,Provide an enterprise wireless solution for SBA.  Phase one will include SBA HQ and 9 regional offices.  Phase 2 will include the Denver office and the servicing centers.,2011-10-01T00:00:00Z,2012-09-28T00:00:00Z,363,Completed,,,0.38,-225,-45.27,Under schedule,-0.0134,Under budget,-3.53,0.38,0.3934,2012-08-31T00:00:00Z,7:52:09,29472
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1624,29473,PROJ: Domain Authentication,"This project will consist of testing and configuring a solution to implement the 802.1x protocol at SBA and satisfy an OIG Audit finding. To accomplish this, a Network Access Control (NAC) solution will be procured to provide real time monitoring of the SBA network as well as provide the ability for all devices on the network to authenticate to the Small Business Administration's (SBA) domain.  Devices that fail to authenticate to the domain will not be issued an IP address and will not be able to access the SBA's network.",2011-04-15T00:00:00Z,2012-04-20T00:00:00Z,371,Completed,2012-04-20T00:00:00Z,2012-09-17T00:00:00Z,0.3,-150,-40.43,Under schedule,0,Balanced budget,0,0.1162,0.1162,2012-08-31T00:00:00Z,7:52:09,29473
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1625,29474,PROJ: Data Center Consolidation,The SBA Federal Data Center Consolidation project team has a single goal: reducing the number of agency data centers from four to zero by Fiscal Year 15.,2011-08-08T00:00:00Z,2014-12-31T00:00:00Z,1241,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,15.1,0,0,Balanced schedule,0,Balanced budget,0,0.2625,0.2625,2012-02-29T00:00:00Z,9:34:13,29474
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,1627,29772,PROJ: Mobility Applications FY 2012 DME,The mobility project will enhance access to critical internal resources by extending the existing infrastructure to support mobile devices.,2011-03-10T00:00:00Z,2013-09-30T00:00:00Z,934,Completed,,,3.4,-120,-39.74,Under schedule,0,Balanced budget,0,0.5449,0.5449,2012-08-31T00:00:00Z,7:52:09,29772
028-000007008,1098,28,Small Business Administration,OCIO: IT Infrastructure,2949,36632,PROJ: OCIO IT Support Services Acquisition,"This project captures the planning and acquisition activities related to the OCIO IT Support Services contract.  Upon contract award, this project's activities will transition into its Operations and Maintenance phase.",2012-02-14T00:00:00Z,2017-05-31T00:00:00Z,1932,Processing,,,75,0,0,Balanced schedule,0,Balanced budget,0,8.0375,8.0375,2012-06-29T00:00:00Z,9:05:28,36632
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2372,1010180603,IAM Identity Services,Provides enterprise level identity management services allowing us to uniquely identify individuals across Department of Veterans Affairs (VA) and determine in which VA systems the individual is known and their associated identifier in those systems.,2009-07-15T00:00:00Z,2016-09-30T00:00:00Z,2634,Processing,2012-05-16T00:00:00Z,2012-05-16T00:00:00Z,114.572699,-107,-39.05,Under schedule,0.032532,Excess budget,0.25,13.163177,13.130645,2012-03-19T00:00:00Z,8:43:00,1010180603
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2373,1011010607,VRM Knowledge Management,"The Veterans Relationship Management (VRM) Knowledge Management (KM) Project will provide an improvement to several distinct and redundant Department of Veterans Affairs (VA) benefit information identification, collection, and maintenance processes. The goal is to create an enterprise KM solution to disseminate benefit information to Veterans, their beneficiaries, and the public in an intuitive and efficient manner.",2010-09-08T00:00:00Z,2015-09-30T00:00:00Z,1848,Completed,,,15.665358,0,0,Balanced schedule,0,Balanced budget,0,3.933,3.933,2012-08-14T00:00:00Z,6:10:44,1011010607
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2376,1011020604,VetSuccess Rehost,"The VetSuccess Rehost website includes comprehensive employment resources for all Veterans, not just those with service-related disabilities. The site is a virtual employment resource center for Veterans who seek employment and employers who want to hire them.",2010-12-13T00:00:00Z,2013-01-11T00:00:00Z,760,Completed,,,24.634,-197,-33.28,Under schedule,0,Balanced budget,0,3.108,3.108,2011-12-20T00:00:00Z,7:09:26,1011020604
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2381,1011020609,Dual Eligible System Enhancements,"This project will provide the ability to appropriately represent and store information pertaining to dual-eligible service members, whichhas been a problem within the Veterans Health Administration Enrollment/Eligibility system for many years. This initiative will ensure the correct categorization and allow for accurate billing of those receiving care under another treatment authority, such as active duty, etc.This effort is directly aligned with the goals of Veterans Relationship Management, in that it will make it easier to identifythe appropriate treatment authority under which the Veteran is receiving care, and will also allow for correct billing of this care.",2012-01-03T00:00:00Z,2015-09-30T00:00:00Z,1365,Completed,,,7,-154,-531.03,Under schedule,0,Balanced budget,0,0.235417,0.235417,2011-12-20T00:00:00Z,7:09:26,1011020609
029-888888105,7,29,Department of Veterans Affairs,InterAgency 21st Century-One Vet,2382,1011020610,IAM Authorization Services,"Identity and Access Management (IAM) Authorization (AuthR) Services provides various enterprise level authorization services to streamline granting and removing electronic permissions to the Department of Veterans Affairs (VA) data, services, technology systems and resources.",2010-01-09T00:00:00Z,2017-09-30T00:00:00Z,2820,Processing,,,72.495616,0,0,Balanced schedule,0,Balanced budget,0,4.093279,4.093279,2012-03-19T00:00:00Z,8:43:00,1011020610
029-666666107,391,29,Department of Veterans Affairs,Benefits 21st Century Education,2330,1109141019,Automate GI Bill Long-Term Solution Development,The Automate GI Bill Program assists the veteran and other beneficiaries by improving the quality and accessibility of the Post 9/11 GI Bill educational benefit. The Chapter 33 Automation Deployment 1 will provide initial automation capability likely focusing on a subset of supplemental claims processing and will include additional functional stories depending on available deployment capacity.,2011-09-13T00:00:00Z,2013-09-30T00:00:00Z,748,Completed,2012-07-30T00:00:00Z,2012-07-30T00:00:00Z,151.4,-32,-9.97,Under schedule,0,Balanced budget,0,70.948,70.948,2012-03-19T00:00:00Z,8:42:11,1109141019
029-666666265,468,29,Department of Veterans Affairs,Benefits 21st Century Paperless Delivery of Veterans Benefits,2335,1104200603,VBMS Phase 2,"In FY11, using agile development methodology, the Veterans Benefits Management System (VBMS) created a software product that would improve efficiency in the Veterans claims management process. Phase 1 delivered a prototype to prove the concept of smart scanning, an electronic folder of images to replace the paper folder and web services application to establish a claim in the system. In Phase 2, the application will be changed from a prototype to an enterprise-capable application with the necessary supporting infrastructure to provide the foundational components for a nationally deployed paperless solution. VBMS is a business transformation initiative designed to reduce the processing time of a Veteran claim to 125 days. VBMS will increase efficiency, improve quality, reduce the backlog of pending claims, and ensure the timely and accurate delivery of disability benefits paid each month to Veterans and their beneficiaries.",2010-11-29T00:00:00Z,2012-02-24T00:00:00Z,452,Completed,2011-11-24T00:00:00Z,2011-11-24T00:00:00Z,71.293646,0,0,Balanced schedule,0,Balanced budget,0,45.858336,45.858336,2011-12-20T00:00:00Z,7:09:21,1104200603
029-666666265,468,29,Department of Veterans Affairs,Benefits 21st Century Paperless Delivery of Veterans Benefits,2337,1109120898,VBMS Phase 3,"VBMS Phase 3 will integrate new and improved business processes with the paperless claims software solution that was developed, refined and validated during the pilot of the VBMS Virtual Regional Office (VRO) and the two previous phases. Phase 3 will be deployed in 2012 and will be used to validate the VBMS technology with increased volume of users and claims and improved business processes to a larger scale of end users throughout the Veterans Benefits Administration (VBA) Regional Offices. This effort will increase the efficiency of claims processing and ensure timely and accurate deliver of disability benefits paid each month to Veterans and their beneficiaries. The development for this effort is to be completed through an interagency agreement and funding is awarded during planning for the duration of the effort.",2011-02-06T00:00:00Z,2012-08-23T00:00:00Z,563,Completed,2011-12-22T00:00:00Z,2011-12-22T00:00:00Z,52.195877,-253,-124.63,Under schedule,0,Balanced budget,0,52.195877,52.195877,2012-03-19T00:00:00Z,8:42:16,1109120898
029-666666109,470,29,Department of Veterans Affairs,Benefits Legacy,2819,1007280603,CWINRS_BDN Migration,"CWINRS is a case management application re-engineered and enhanced from a field developed application for the Vocational Rehabilitation and Employment (VR&E) offices in the Department of Veterans Affairs Regional Offices (VAROs). CWINRS provides VARO staff, outstation staff, contractors, and others with a means of maintaining accurate information for service-connected disabled veterans participating in the VR&E program. CWINRS utilizes the Veterans Benefits Administrations (VBAs) corporate database to maintain participant information and interfaces with VBAs BDN and VA Financial Management System (FMS) to process payment and accounting transactions.The project is to remove the CWINRS Application dependency on the legacy VBA BDN. The VAs ability to maintain the BDN is at risk from a human resource aspect. BDN resides on a Honeywell Bull mainframe computer and is programmed in COBOL. Expertise on the Honeywell Bull is fading away in both the private and public sectors.",2009-01-10T00:00:00Z,2013-08-02T00:00:00Z,1664,Completed,,,13.93,0,0,Balanced schedule,0,Balanced budget,0,1.659,1.659,2012-03-19T00:00:00Z,8:42:11,1007280603
029-666666264,471,29,Department of Veterans Affairs,Benefits Legacy,2844,1109130802,VETSNET Release Management - VR15,VETSNET Release 15 will support the final conversion of records from the legacy system to the new modern payment system for benefits: Burial and Accrued Benefit Payments and continue to support the development of web services for internal and external customers as well as the public at large to provide secure online web interfaces (such as eBenifts.va.gov allowing veterans to apply for benefits online).,2012-05-03T00:00:00Z,2013-04-30T00:00:00Z,362,Completed,2012-08-20T00:00:00Z,2012-08-14T00:00:00Z,22.701,-11,-6.55,Under schedule,0.4858,Excess budget,21.4,2.2701,1.7843,2012-08-14T00:00:00Z,6:10:43,1109130802
029-777777106,472,29,Department of Veterans Affairs,Corporate 21st Century Core,2342,1010150604,Equal Employment Opportunity-Alternate Dispute Resolution (EEO-ADR) Dashboard,"The Office of Resolution Management has a need to roll out an Equal Employment Opportunity/Alternate Dispute Resolution dashboard system that will interface with the CATS data source (Complaint Automated Tracking System) and ADR tracker in order to provide a national VA-wide solution. The EEO/ADR Dashboard is intended to be a management tool that provides easy access for monitoring key components of the work environment such as complaint activity, employee satisfaction, conflict management, dispute resolution, diversity, etc.",2011-01-06T00:00:00Z,2012-02-03T00:00:00Z,393,Completed,2012-02-03T00:00:00Z,2012-02-03T00:00:00Z,0.54,0,0,Balanced schedule,0,Balanced budget,0,0.249,0.249,2012-03-19T00:00:00Z,8:42:27,1010150604
029-777777106,472,29,Department of Veterans Affairs,Corporate 21st Century Core,2822,1010150611,SES Collaborative Website," The Corporate Senior Executive Management Office (CSEMO) requires collaborative management tools (CMT) for engaging the members of the Senior Executive Service (SES). It will enable the sharing of educational, program, biographical and other critical information so as to enhance the effectiveness and performance of SES members through collaboration and communication.",2009-02-12T00:00:00Z,2012-02-29T00:00:00Z,1112,Completed,2011-10-31T00:00:00Z,2011-10-31T00:00:00Z,4.67096,0,0,Balanced schedule,0,Balanced budget,0,0.59032,0.59032,2012-03-19T00:00:00Z,8:42:27,1010150611
029-777777029,473,29,Department of Veterans Affairs,Corporate 21st Century SAM,2338,1109131061,Strategic Asset Management (SAM) Replanned Effort,"NOTE: The project was canceled per VA CIO on October 27, 2011. The Strategic Asset Management (SAM) project is a multi-year effort to replace Veteran Affairs (VAs) existing asset management systems with a single, web-based, integrated, COTS enterprise-level system to address VAs critical need for a modernized and integrated facilities management capability. The initial functional community will be Facilities Management (FM).",2011-01-10T00:00:00Z,2011-10-27T00:00:00Z,289,Completed,2011-10-27T00:00:00Z,2011-10-27T00:00:00Z,23.664,0,0,Balanced schedule,3.074641,Excess budget,76.87,4,0.925359,2012-03-19T00:00:00Z,8:42:23,1109131061
029-777777109,474,29,Department of Veterans Affairs,Enterprise IT Support,2824,1109100966,IOC - Common Operating Picture - COOP,"Projectfacilitates VASecretary's decision-makingcapability to predict, prevent,respond and recoverin the event of National Emergency and Natural Disaster. Specifically, the projelivers a Common Operating Picture (COP) System Design and Architecture, COP Prototype and Proof-of-Concept pertaining to Subject Matter Expert Center for Biological Events.",2011-07-03T00:00:00Z,2012-07-31T00:00:00Z,394,Completed,2012-06-20T00:00:00Z,2012-06-20T00:00:00Z,5.937,-72,-23.84,Under schedule,-0.154236,Under budget,-3.97,3.88345,4.037686,2012-07-17T00:00:00Z,8:13:24,1109100966
029-888888103,480,29,Department of Veterans Affairs,InterAgency 21st Century PIV,"2,845",1004130603,Safety and Security Initiative (HSPD-12)(PIV),"Development, Modernization and Enhancementsof the current PIVsystem to support the Agency mission tocredential all required employees, contractors, and affiliates.",2009-07-20T00:00:00Z,2011-12-30T00:00:00Z,893,Completed,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,21.258,-245,-100.82,Under schedule,0.123656,Excess budget,18.44,0.670669,0.547013,2012-03-19T00:00:00Z,8:42:52,1004130603
029-888888102,481,29,Department of Veterans Affairs,InterAgency 21st Century Veterans Interoperability,2364,1105040604,CHDR Veteran Health Information Model Release,"CHDR Veteran Health Information Model Release (VHIM) provides bi-directional, computable data exchange between the Veteran Affairs Health Data Repository and Department of DefenseClinical Data Repository.",2011-01-06T00:00:00Z,2012-01-05T00:00:00Z,364,Completed,2012-02-29T00:00:00Z,2011-03-12T00:00:00Z,3.506,88,48.62,Excess schedule,0,Balanced budget,0,2.96,2.96,2011-12-20T00:00:00Z,7:09:24,1105040604
029-888888102,481,29,Department of Veterans Affairs,InterAgency 21st Century Veterans Interoperability,2825,1109200025,STS - VA Enterprise Terminology Services (VETS),"VETS consists of tools and applications that allow terminology analysts to author, distribute and perform maintenance on the terminology content that supports applications that need standardized, computable and interoperable clinical terminology.",2011-07-29T00:00:00Z,2012-01-10T00:00:00Z,165,Completed,2012-01-30T00:00:00Z,2012-01-30T00:00:00Z,0.918,0,0,Balanced schedule,-0.01,Under budget,-5,0.2,0.21,2012-03-19T00:00:00Z,8:42:46,1109200025
029-555555111,482,29,Department of Veterans Affairs,Medical 21st Century Bar Code Expansion(BCE),2252,1003150605,Bar Code Expansion (BCE) Positive Patient Identification,"This project implements barcode wireless technology that will enable positive patient identification at the point of care for clinical specimen collection, anatomic pathology specimen collection, and blood administration, as well as reduce adverse events associated with incorrect blood product transfusion; mislabeling of laboratory, anatomical pathology, and blood specimens; and decrease adverse events associated with surgical procedures. BCE supports the Department of Veterans Affairs Strategic Plan FY 2006 2011 Business Performance Measure Objective E.3: Percent of Laboratory specimens that are collected utilizing barcode technology.",2010-02-19T00:00:00Z,2015-11-22T00:00:00Z,2102,Completed,,,21.693,0,0,Balanced schedule,0,Balanced budget,0,8.188884,8.188884,2011-09-30T00:00:00Z,6:11:41,1003150605
